aX,aY,aZ,gX,gY,gZ
0.12,-0.11,0.98,4.48,2.05,0.44
0.12,-0.09,0.99,6.97,3.3,0.44
0.1,-0.1,0.99,5.09,2.89,-0.11
0.1,-0.1,0.98,5.84,2.63,-0.15
0.12,-0.09,0.98,5.01,0.9,-0.96
0.11,-0.09,0.97,3.37,1.23,-1.21
0.12,-0.1,1.0,2.88,2.62,-1.04
0.11,-0.09,0.98,5.56,2.66,-1.45
0.12,-0.08,0.99,2.85,1.89,-1.65
0.11,-0.08,0.99,3.5,1.87,-1.95
0.11,-0.1,0.98,1.53,2.27,1.23
0.11,-0.08,0.98,6.59,2.73,1.6
0.11,-0.05,1.02,6.15,1.75,-0.44
0.1,-0.07,0.98,-2.53,1.36,-0.52
0.11,-0.09,0.98,5.6,2.27,0.66
0.1,-0.07,1.0,4.22,1.61,1.18
0.1,-0.06,0.99,0.24,1.53,0.19
0.1,-0.08,0.96,2.73,0.95,-0.37
0.11,-0.06,0.98,3.44,0.98,-0.11
0.1,-0.05,0.97,1.13,1.01,0.66
0.1,-0.05,0.98,-1.79,1.79,0.19
0.1,-0.04,0.99,-5.91,0.74,-0.79
0.1,-0.07,0.99,-7.68,-1.03,-0.41
0.1,-0.06,1.0,-3.58,0.24,-0.13
0.11,-0.08,0.97,-3.03,0.73,0.43
0.1,-0.07,0.95,0.27,0.72,0.29
0.1,-0.06,0.98,-5.25,-1.01,0.6
0.11,-0.05,0.99,-9.16,-1.69,-0.11
0.11,-0.05,1.0,-13.99,-1.57,-1.15
0.11,-0.08,1.0,-14.24,-1.39,-1.13
0.12,-0.09,0.99,-10.76,-0.21,-0.84
0.12,-0.08,1.0,-11.0,0.35,-0.56
0.12,-0.1,0.98,-12.82,0.24,-0.76
0.11,-0.1,0.97,-7.26,0.04,-0.6
0.12,-0.08,1.01,-11.89,-0.8,-1.13
0.12,-0.11,1.0,-19.56,-2.18,-1.25
0.12,-0.13,0.97,-8.93,-2.28,-1.0
0.11,-0.11,1.0,-9.19,0.18,-0.63
0.11,-0.12,0.99,-9.64,0.29,-0.64
0.11,-0.11,1.0,-7.15,1.66,-0.47
0.12,-0.12,0.97,-15.38,-1.0,0.56
0.13,-0.15,0.95,-3.53,2.31,-0.37
0.12,-0.12,0.98,-2.09,1.98,0.14
0.12,-0.12,1.02,-14.21,-0.23,-0.1
0.11,-0.17,0.98,-13.82,-3.31,0.53
0.12,-0.13,0.98,-1.92,0.81,0.17
0.13,-0.11,0.97,-5.76,1.04,0.53
0.13,-0.14,0.97,-8.85,-3.59,-0.56
0.12,-0.14,1.0,-8.85,2.34,-0.99
0.13,-0.16,0.99,-14.8,2.73,-0.11
0.12,-0.17,0.98,-10.93,3.15,0.27
0.12,-0.16,0.98,-8.12,3.96,0.7
0.12,-0.15,0.98,-7.36,2.95,-0.71
0.12,-0.17,0.99,-11.04,2.66,-0.34
0.12,-0.19,0.97,-8.27,2.53,0.28
0.13,-0.17,0.98,-4.79,4.88,0.18
0.11,-0.16,0.98,-9.46,6.82,0.07
0.11,-0.18,0.97,-10.63,5.8,-0.27
0.12,-0.18,0.98,-5.78,4.55,-0.71
0.11,-0.17,0.99,-6.98,4.63,-1.34
0.1,-0.18,0.99,-9.39,4.8,-3.17
0.11,-0.2,0.97,-9.33,3.08,-2.28
0.1,-0.2,0.97,-3.78,1.78,-2.17
0.1,-0.19,0.98,-3.78,1.6,-2.12
0.1,-0.19,0.97,-5.73,0.59,-2.21
0.1,-0.2,0.97,-8.24,0.9,-1.3
0.09,-0.2,0.98,-2.6,1.89,-1.81
0.09,-0.18,0.99,-9.91,-1.24,-1.16
0.11,-0.23,0.94,-4.85,1.9,-1.1
0.11,-0.21,0.95,7.22,0.17,-0.37
0.12,-0.16,1.0,-2.98,-0.72,-1.44
0.11,-0.2,0.98,-24.83,-0.55,-2.89
